case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
161,mod_switch_same_freq,ideal,10.0,ASK,FSK,0.0,True,True,True,False,False,False,4.0,4,7
162,freq_mod_switch,ideal,10.0,ASK,FSK,10000.0,True,True,False,True,False,False,-8.0,2,6
163,freq_mod_switch,ideal,10.0,ASK,FSK,-10000.0,True,True,False,True,False,False,-8.0,2,6
164,freq_mod_switch,ideal,10.0,ASK,FSK,20000.0,True,True,False,True,False,False,-8.0,2,6
165,freq_mod_switch,ideal,10.0,ASK,FSK,50000.0,True,True,True,False,False,False,4.0,5,23
166,mod_switch_same_freq,ideal,10.0,ASK,PSK,0.0,True,True,True,False,False,False,4.0,3,22
167,freq_mod_switch,ideal,10.0,ASK,PSK,10000.0,True,True,True,False,False,False,4.0,5,23
168,freq_mod_switch,ideal,10.0,ASK,PSK,-10000.0,True,True,False,True,False,False,-8.0,2,6
169,freq_mod_switch,ideal,10.0,ASK,PSK,20000.0,True,True,True,False,False,False,4.0,5,23
170,freq_mod_switch,ideal,10.0,ASK,PSK,50000.0,True,True,True,False,False,False,4.0,5,23
171,mod_switch_same_freq,ideal,10.0,FSK,AM,0.0,True,True,True,False,False,False,4.0,2,24
172,freq_mod_switch,ideal,10.0,FSK,AM,10000.0,True,True,True,False,False,False,4.0,3,28
173,freq_mod_switch,ideal,10.0,FSK,AM,-10000.0,True,True,True,False,False,False,4.0,3,28
174,freq_mod_switch,ideal,10.0,FSK,AM,20000.0,True,True,True,False,False,False,4.0,3,28
175,freq_mod_switch,ideal,10.0,FSK,AM,50000.0,True,True,True,False,False,False,4.0,2,24
176,mod_switch_same_freq,ideal,10.0,FSK,FM,0.0,True,True,True,False,False,False,5.999999999999998,2,24
177,freq_mod_switch,ideal,10.0,FSK,FM,10000.0,True,True,True,False,False,False,5.999999999999998,2,24
178,freq_mod_switch,ideal,10.0,FSK,FM,-10000.0,True,True,True,False,False,False,4.0,2,24
